timestamp,AccX,AccY,AccZ
1510009833729,0.46799999475479126,4.3460001945495605,11.47700023651123
1510009833783,2.135999917984009,3.8959999084472656,8.833000183105469
1510009833838,-0.7490000128746033,5.948999881744385,6.313000202178955
1510009833899,-2.117000102996826,4.76200008392334,6.88700008392334
1510009833955,,4.2170000076293945,
1510009833956,-1.8619999885559082,,8.26099967956543
1510009834017,-2.2090001106262207,2.8350000381469727,11.201000213623047
1510009834076,,5.599999904632568,
1510009834077,-0.335999995470047,,9.03600025177002
1510009834135,,4.019999980926514,
1510009834136,-0.8519999980926514,,9.378999710083008
1510009834196,-0.023000000044703484,4.331999778747559,8.930000305175781
1510009834256,-0.7070000171661377,4.793000221252441,7.4070000648498535
1510009834316,-1.7059999704360962,4.546000003814697,7.901000022888184
1510009834376,-0.009999999776482582,3.0940001010894775,8.72700023651123
1510009834436,0.3659999966621399,3.4739999771118164,5.998000144958496
1510009834496,,2.1500000953674316,
1510009834497,1.371999979019165,,8.366999626159668
1510009834558,1.4819999933242798,0.1889999955892563,11.755000114440918
1510009834616,2.8350000381469727,0.4300000071525574,10.602999687194824
1510009834689,2.7980000972747803,0.22499999403953552,9.298999786376953
1510009834736,4.051000118255615,0.33799999952316284,8.977999687194824
1510009834813,,-0.9079999923706055,
1510009834814,3.2920000553131104,,12.350000381469727
1510009834857,2.4519999027252197,-0.7139999866485596,9.5649995803833
1510009834922,3.5869998931884766,0.5830000042915344,
1510009834923,,,10.630999565124512
1510009834987,4.0329999923706055,1.5410000085830688,10.300000190734863
1510009835036,4.1020002365112305,0.9779999852180481,9.88700008392334
1510009835110,4.8429999351501465,2.046999931335449,9.47700023651123
1510009835171,,2.5220000743865967,
1510009835172,4.947999954223633,,8.86299991607666
1510009835215,,3.628999948501587,
1510009835216,2.6429998874664307,,8.949000358581543
1510009835275,,3.11899995803833,
1510009835276,3.049999952316284,,9.460000038146973
1510009835415,2.5969998836517334,3.7079999446868896,9.057000160217285
1510009835456,,3.677999973297119,
1510009835457,0.257999986410141,,3.7149999141693115
1510009835516,,0.07000000029802322,
1510009835517,0.16899999976158142,,5.375
1510009835576,,-1.4559999704360962,
1510009835577,2.0899999141693115,,5.802999973297119
1510009835636,,-4.697999954223633,
1510009835637,3.74399995803833,,7.940999984741211
1510009835696,,-3.5869998931884766,
1510009835697,7.639999866485596,,8.470000267028809
1510009835756,,-3.434000015258789,
1510009835757,6.60699987411499,,11.644000053405762
1510009835816,7.229000091552734,-2.9739999771118164,11.128999710083008
1510009835876,6.144000053405762,-3.361999988555908,8.190999984741211
1510009835936,6.302999973297119,-2.687999963760376,7.867000102996826
1510009835996,4.684999942779541,-4.077000141143799,5.715000152587891
1510009836056,,-3.7880001068115234,
1510009836057,5.2829999923706055,,7.438000202178955
1510009836116,8.75,-4.333000183105469,6.889999866485596
1510009836176,9.78499984741211,-6.10699987411499,
1510009836177,,,6.730999946594238
1510009836236,,-5.296000003814697,
1510009836237,9.744000434875488,,4.7829999923706055
1510009836296,8.71399974822998,-5.234000205993652,2.7179999351501465
1510009836356,9.204000473022461,-4.88700008392334,
1510009836357,,,3.1050000190734863
1510009836416,8.555000305175781,-4.568999767303467,1.6540000438690186
1510009836476,8.878000259399414,-3.2230000495910645,1.722000002861023
1510009836536,8.0,-2.0480000972747803,1.4420000314712524
1510009836596,8.303000450134277,-1.9600000381469727,1.7710000276565552
1510009836656,9.496000289916992,-2.444999933242798,0.597000002861023
1510009836716,9.987000465393066,-2.5840001106262207,
1510009836717,,,0.6570000052452087
1510009836776,9.218000411987305,-4.061999797821045,2.688999891281128
1510009836836,3.190000057220459,-8.33899974822998,5.613999843597412
1510009836896,4.9770002365112305,-6.830999851226807,7.054999828338623
1510009836956,0.8840000033378601,-5.372000217437744,9.347000122070313
1510009837016,1.1829999685287476,-6.861000061035156,5.184000015258789
1510009837076,0.8330000042915344,-7.86899995803833,7.525000095367432
1510009837136,-1.7369999885559082,-7.234000205993652,3.813999891281128
1510009837196,-3.2839999198913574,-6.585999965667725,4.554999828338623
1510009837256,-3.302999973297119,-6.673999786376953,4.6579999923706055
1510009837316,-4.031000137329102,-8.380999565124512,3.315999984741211
1510009837376,-3.6700000762939453,-9.880999565124512,3.864000082015991
1510009837436,-4.551000118255615,-11.684000015258789,2.3989999294281006
1510009837496,-2.4590001106262207,-14.588000297546387,-1.8170000314712524
1510009837556,-3.1649999618530273,-7.781000137329102,
1510009837557,,,-1.0149999856948853
1510009837616,-3.927000045776367,-5.0980000495910645,-1.4500000476837158
1510009837676,-4.248000144958496,-4.538000106811523,-2.7799999713897705
1510009837736,-4.724999904632568,-7.579999923706055,-1.6169999837875366
1510009837796,-5.794000148773193,-11.468999862670898,-0.8360000252723694
1510009837856,-5.056000232696533,-9.29800033569336,-0.11999999731779099
1510009837916,-4.414999961853027,-9.055000305175781,
1510009837917,,,0.8330000042915344
1510009837976,-4.275000095367432,-9.08899974822998,0.5429999828338623
1510009838036,-4.4730000495910645,-8.435999870300293,0.7089999914169312
1510009838096,-5.13100004196167,-8.70199966430664,0.0949999988079071
1510009838156,-5.208000183105469,-10.722000122070313,-0.14399999380111694
1510009838216,-4.861999988555908,-12.003999710083008,-0.07100000232458115
1510009838276,-3.5209999084472656,-10.121999740600586,-0.859000027179718
