timestamp,AccX,AccY,AccZ
1510249795838,-2.0003554821014404,4.477157115936279,8.169015884399414
1510249795859,-4.966771602630615,3.2848446369171143,10.615890502929688
1510249795882,-3.139995574951172,4.854243755340576,7.655459880828857
1510249795906,-1.3204022645950317,6.125565052032471,5.122394561767578
1510249795928,-1.5179238319396973,6.809109687805176,5.360617637634277
1510249795941,-2.6623523235321045,5.737704277038574,6.845022678375244
1510249795960,,5.172672748565674,7.845798969268799
1510249795961,-3.0310592651367188,,
1510249795981,-2.3546974658966064,5.329493045806885,8.580819129943848
1510249796010,,5.767632007598877,
1510249796011,-1.742978811264038,,8.529343605041504
1510249796039,-1.8986018896102905,6.065710067749023,8.092401504516602
1510249796060,-2.0901381969451904,6.113594055175781,6.840234279632568
1510249796072,-2.0242974758148193,6.585251808166504,6.118382453918457
1510249796090,-1.5969325304031372,6.720524311065674,5.814318656921387
1510249796112,-1.4724340438842773,6.952761650085449,6.057330131530762
1510249796140,-1.6639702320098877,6.8593878746032715,6.289567947387695
1510249796165,-1.5490485429763794,6.380547523498535,6.344634532928467
1510249796176,-1.159990668296814,6.2620344161987305,7.4986395835876465
1510249796196,-0.8655039072036743,6.102819919586182,8.008605003356934
1510249796225,,6.1303534507751465,7.583633899688721
1510249796226,-0.5518634915351868,,
1510249796250,-0.7433996200561523,6.2392897605896,6.998251438140869
1510249796275,-1.1276689767837524,6.09204626083374,6.423643112182617
1510249796292,-1.091755986213684,6.197391033172607,6.05852746963501
1510249796326,-0.8954314589500427,6.4595561027526855,5.839457988739014
1510249796357,0.9995791912078857,6.329071998596191,7.126341342926025
1510249796389,0.9349357485771179,5.832275390625,7.372944355010986
1510249796410,,4.687847137451172,
1510249796411,-0.9588778018951416,,7.396886348724365
1510249796453,-0.5003881454467773,4.495113849639893,7.4100542068481445
1510249796503,-0.9313444495201111,4.325125217437744,8.452729225158691
1510249796516,-2.1942858695983887,4.299986362457275,8.222886085510254
1510249796550,-1.7154455184936523,3.8965632915496826,8.616731643676758
1510249796582,,2.719813108444214,
1510249796583,-1.2856862545013428,2.5318682193756104,9.397241592407227
1510249796619,,2.3307554721832275,
1510249796620,-1.5610195398330688,,9.927556991577148
1510249796630,-2.387019157409668,2.1990742683410645,10.008959770202637
1510249796669,-2.6671407222747803,1.7717092037200928,9.155426979064941
1510249796685,-2.345120668411255,2.850297212600708,9.75517463684082
1510249796727,-3.1878795623779297,2.4863784313201904,9.150638580322266
1510249796740,,2.669534921646118,
1510249796741,-2.876633405685425,,9.337387084960938
1510249796757,,2.5773582458496094,
1510249796758,-2.232593059539795,,9.537302017211914
1510249796783,-1.6759412288665771,2.8107926845550537,10.56800651550293
1510249796807,-1.403002142906189,3.0107085704803467,10.78468132019043
1510249796842,-4.021061897277832,2.293645143508911,9.929951667785645
1510249796858,-5.669469833374023,1.0642226934432983,11.05522632598877
1510249796885,-4.63517427444458,2.006340980529785,11.435904502868652
1510249796909,-2.476801633834839,3.1974563598632812,12.160150527954102
1510249796941,-0.5207388401031494,3.405751943588257,11.623848915100098
1510249796975,0.49559974670410156,4.036623954772949,9.560047149658203
1510249797023,1.0965443849563599,4.818330764770508,10.516530990600586
1510249797025,0.7852981686592102,4.571728229522705,8.225279808044434
1510249797049,0.18914192914962769,3.934870481491089,9.32661247253418
1510249797094,0.8056488633155823,4.050989151000977,11.049241065979004
1510249797113,-1.2773065567016602,3.0346505641937256,8.394071578979492
1510249797130,,3.532644510269165,
1510249797131,-1.6388310194015503,,7.843404769897461
1510249797168,-0.5003881454467773,4.468777656555176,8.538920402526855
