relative_time,DecibelSource,AccX,AccY,AccZ
3320,,3.1052796840667725,-8.131906509399414,
3321,,,,0.3292027413845062
3343,42.37543022867783,,,
3387,,-0.9864110946655273,-9.041702270507812,2.8419175148010254
3443,48.09000164107602,,,
3453,,3.603273630142212,-2.6396074295043945,
3454,,,,1.3611036539077759
3520,,,0.05027823522686958,
3521,,6.645106792449951,,2.366668462753296
3523,42.17323742141374,,,
3587,,1.7082629203796387,-6.9910688400268555,-0.5267243981361389
3603,51.3077609018045,,,
3654,,12.680889129638672,-9.493009567260742,-1.7345991134643555
3683,53.69446343774651,,,
3720,,,-10.163386344909668,
3721,,3.362656354904175,,2.631227731704712
3763,37.01268001196516,,,
3787,,3.4991257190704346,-11.100716590881348,3.4368765354156494
3843,41.412244239828055,,,
3853,,,-9.276334762573242,
3854,,3.118447780609131,,-2.1942858695983887
3920,,,-5.853823184967041,
3921,,7.208941459655762,,4.67946720123291
3923,47.15694188432706,,,
3987,,1.5107412338256836,-7.55011510848999,0.790086567401886
4003,38.442135944997915,,,
4054,,7.522581577301025,-6.27280855178833,1.7357962131500244
4084,34.73628651492867,,,
4120,,,-10.551246643066406,
4121,,0.6655880808830261,,2.165555477142334
4163,37.66312761703722,,,
4187,,11.065999984741211,-6.999448776245117,1.8950105905532837
4243,37.20498648007605,,,
4253,,,-4.217386245727539,
4254,,8.29710578918457,,0.038307227194309235
4320,,,-7.040150165557861,
4321,,6.695384979248047,,1.50355863571167
4323,48.48411861976892,,,
4387,,,-7.228095054626465,
4388,,11.03248119354248,,-1.5837644338607788
4404,41.265464697482095,,,
4454,,,-11.21324348449707,
4455,,5.705382823944092,,-1.4053963422775269
4484,39.257498023348425,,,
4521,,4.616020679473877,-10.24119758605957,0.8846575021743774
4564,38.48154842621112,,,
4587,,,-9.44752025604248,
4588,,5.130774021148682,,0.9768342971801758
4644,40.83208128518543,,,
4654,,3.79840087890625,-7.688978672027588,-1.048660397529602
4721,,1.6531962156295776,-7.535749912261963,1.0031704902648926
4744,36.42453948273876,,,
4787,,,-5.940014362335205,
4788,,0.152031809091568,,-0.4991910457611084
4824,35.769954965359354,,,
4854,,,-6.095637321472168,
4855,,4.015076160430908,,-2.655169725418091
4904,54.9082116435644,,,
4921,,10.093954086303711,-11.45266342163086,-4.611232280731201
4984,41.91496823406965,,,
4987,,,-8.58919906616211,
4988,,0.6117185354232788,,-1.3910311460494995
5054,,3.0095114707946777,-11.139023780822754,
5055,,,,-0.7338228225708008
5064,69.25025107826974,,,
5121,,-2.032677173614502,-3.647566318511963,5.609614372253418
5144,62.93765145080486,,,
5188,,2.123656988143921,-13.46379280090332,2.2421698570251465
