timestamp,DecibelSource,AccX,AccY,AccZ
1510245108013,,,4.738125324249268,
1510245108014,,-0.2298433631658554,,9.334992408752441
1510245108036,34.61883698691416,,,
1510245108083,,-0.13766659796237946,5.184643745422363,7.638700485229492
1510245108117,33.63420574195394,,,
1510245108148,,-0.48602294921875,5.061342239379883,8.220491409301758
1510245108197,33.666651893724406,,,
1510245108207,,-0.43933600187301636,5.058948040008545,7.770381450653076
1510245108277,32.39019601806463,,,
1510245108281,,-0.9911994934082031,5.172672748565674,7.179013729095459
1510245108338,,,5.039794445037842,
1510245108339,,-0.9756371974945068,,8.49941635131836
1510245108357,33.37215559695734,,,
1510245108407,,-1.1073182821273804,4.89494514465332,8.501810073852539
1510245108437,33.70362664981218,,,
1510245108489,,,3.847482204437256,
1510245108490,,-1.9752163887023926,,9.313444137573242
1510245108517,31.997825633709375,,,
1510245108544,,-2.05781626701355,3.070563793182373,8.189367294311523
1510245108597,35.719230946337326,,,
1510245108606,,-1.3012486696243286,2.3475148677825928,8.941145896911621
1510245108677,32.766630762437686,,,
1510245108685,,-2.474407434463501,2.2421698570251465,
1510245108686,,,,8.001421928405762
1510245108754,,,3.8067808151245117,
1510245108755,,-1.015141487121582,,7.920019149780273
1510245108757,33.65264012858924,,,
1510245108814,,-1.1504138708114624,4.010287761688232,9.59596061706543
1510245108856,32.81900843111814,,,
1510245108869,,-2.7545289993286133,3.640383720397949,7.536946773529053
1510245108936,,,4.60165548324585,
1510245108937,34.407457712076045,0.14365209639072418,,6.84981107711792
1510245109000,,-2.2206220626831055,4.37420654296875,8.32104778289795
1510245109016,36.30628123842923,,,
1510245109097,34.89205516792876,,,
1510245109101,,-1.3922282457351685,5.147533416748047,9.712079048156738
1510245109134,,-0.8930372595787048,5.843049049377441,8.471882820129395
1510245109176,36.59821396747529,,,
1510245109213,,0.46088382601737976,5.145139217376709,10.462661743164062
1510245109257,35.571171827614016,,,
1510245109291,,2.2409727573394775,6.445190906524658,10.528501510620117
1510245109334,,0.5219359993934631,3.6332011222839355,8.989029884338379
1510245109336,34.378692459298236,,,
1510245109400,,-2.9269115924835205,1.745373010635376,7.223306655883789
1510245109416,35.000017958617384,,,
1510245109478,,,3.1220390796661377,
1510245109479,,0.36152446269989014,,5.849034786224365
1510245109496,34.16319713774777,,,
1510245109537,,,3.9181110858917236,
1510245109538,,2.4001872539520264,,11.182119369506836
1510245109577,35.38836692873848,,,
1510245109612,,,6.065710067749023,
1510245109613,,2.765302896499634,,6.332663536071777
1510245109657,34.31595866204748,,,
1510245109677,,2.9735984802246094,5.602431774139404,10.465055465698242
1510245109736,,3.845088005065918,5.104437828063965,8.56765079498291
1510245109737,34.0653989531406,,,
1510245109815,,2.492363929748535,4.259284973144531,9.10874080657959
1510245109817,34.805170266174926,,,
1510245109878,,3.360262155532837,3.6535518169403076,8.392873764038086
1510245109897,34.58138401471813,,,
1510245109939,,4.461595058441162,1.4700398445129395,11.224017143249512
1510245109977,35.11789952267012,,,
1510245110004,,,1.7633295059204102,
1510245110005,,2.0470423698425293,,6.320692539215088
1510245110057,33.75896158428131,,,
1510245110094,,5.646724700927734,0.39624038338661194,6.04775333404541
1510245110146,,2.918531894683838,4.005499362945557,5.237316131591797
1510245110157,35.796656892021815,,,
1510245110212,,4.428076267242432,3.4093432426452637,2.6839001178741455
1510245110237,32.75604970257739,,,
1510245110291,,2.213439464569092,3.755305290222168,4.072536945343018
1510245110317,33.807650158639774,,,
1510245110348,,4.062960147857666,2.734178304672241,10.460267066955566
1510245110397,34.59135038870747,,,
1510245110401,,2.940079689025879,3.5158851146698,
1510245110402,,,,9.716867446899414
1510245110477,42.39405598104092,,,
1510245110478,,3.4584243297576904,2.273294448852539,9.782708168029785
1510245110544,,4.200626850128174,0.6141127347946167,11.59631633758545
1510245110557,34.36613648812754,,,
1510245110616,,1.8938134908676147,-2.0183119773864746,7.407660007476807
1510245110637,34.02643889898698,,,
1510245110673,,3.7840356826782227,-5.464765548706055,5.767632007598877
1510245110717,34.75696152277192,,,
1510245110745,,6.156689643859863,-7.198167324066162,3.6954503059387207
1510245110796,36.97604509684394,,,
1510245110811,,7.894880294799805,-9.524134635925293,3.4105403423309326
1510245110877,35.52870841495191,,,
1510245110878,,13.801375389099121,-7.657854080200195,2.52109432220459
1510245110947,,,-8.491036415100098,
1510245110948,,13.810952186584473,,3.5398271083831787
1510245110956,33.80206091704653,,,
1510245111008,,12.154165267944336,-5.558139324188232,-0.9241618514060974
1510245111036,36.071679957862095,,,
1510245111066,,6.773196697235107,-12.733561515808105,
1510245111067,,,,1.533486247062683
1510245111116,37.89193662026436,,,
1510245111133,,7.845798969268799,-8.62511157989502,-2.1057004928588867
1510245111196,41.34785923253762,,,
1510245111201,,1.6280571222305298,-12.931083679199219,5.294776916503906
1510245111266,,,-11.437101364135742,
1510245111267,,0.304063618183136,,-0.4836287498474121
1510245111276,40.469672977065905,,,
1510245111333,,3.1052796840667725,-8.131906509399414,
1510245111334,,,,0.3292027413845062
1510245111356,42.37543022867783,,,
1510245111400,,-0.9864110946655273,-9.041702270507812,2.8419175148010254
1510245111456,48.09000164107602,,,
1510245111466,,3.603273630142212,-2.6396074295043945,
1510245111467,,,,1.3611036539077759
1510245111533,,,0.05027823522686958,
1510245111534,,6.645106792449951,,2.366668462753296
1510245111536,42.17323742141374,,,
1510245111600,,1.7082629203796387,-6.9910688400268555,-0.5267243981361389
1510245111616,51.3077609018045,,,
1510245111667,,12.680889129638672,-9.493009567260742,-1.7345991134643555
1510245111696,53.69446343774651,,,
1510245111733,,,-10.163386344909668,
1510245111734,,3.362656354904175,,2.631227731704712
1510245111776,37.01268001196516,,,
1510245111800,,3.4991257190704346,-11.100716590881348,3.4368765354156494
1510245111856,41.412244239828055,,,
1510245111866,,,-9.276334762573242,
1510245111867,,3.118447780609131,,-2.1942858695983887
1510245111933,,,-5.853823184967041,
1510245111934,,7.208941459655762,,4.67946720123291
1510245111936,47.15694188432706,,,
1510245112000,,1.5107412338256836,-7.55011510848999,0.790086567401886
