timestamp,AccX,AccY,AccZ
1510250796915,0.36990416049957275,3.971980571746826,10.596736907958984
1510250796944,-0.7098808288574219,4.080916881561279,8.735244750976562
1510250796948,-0.40701428055763245,4.242525577545166,7.27957010269165
1510250796968,-0.21547815203666687,4.332307815551758,7.492654323577881
1510250796988,-0.22505496442317963,4.437653064727783,8.269572257995605
1510250797010,-0.14844051003456116,4.082113742828369,9.68933391571045
1510250797032,-0.28969839215278625,4.071340084075928,9.731232643127441
1510250797056,-0.49559974670410156,4.2293572425842285,8.449137687683105
1510250797076,-0.05027823522686958,4.358644008636475,8.342596054077148
1510250797096,0.3064578175544739,4.304774761199951,9.532513618469238
1510250797120,0.17836803197860718,4.268861770629883,9.50617790222168
1510250797138,-0.33039984107017517,4.185064792633057,
1510250797139,,,8.850166320800781
1510250797163,-0.7003039717674255,4.109647274017334,9.873687744140625
1510250797180,-0.12928688526153564,4.2509050369262695,9.668983459472656
1510250797220,0.2992752194404602,4.468777656555176,8.17380428314209
1510250797240,-0.16400282084941864,4.267664432525635,7.633912086486816
1510250797265,-0.6883329749107361,4.335899353027344,
1510250797266,,,8.593987464904785
1510250797267,-1.039083480834961,4.359841346740723,
1510250797291,-0.4034229815006256,4.552574634552002,7.971494674682617
1510250797309,0.14484919607639313,4.4532151222229,8.641871452331543
1510250797329,0.11013327538967133,4.5836992263793945,9.251194953918457
1510250797353,-0.5913678407669067,4.619612216949463,8.422801971435547
1510250797371,-0.4967968463897705,4.624400615692139,8.149862289428711
1510250797392,-0.11372458189725876,4.5825018882751465,8.960299491882324
1510250797423,0.1388636976480484,4.461595058441162,9.027337074279785
1510250797450,0.18914192914962769,4.546588897705078,8.848969459533691
1510250797460,-0.0933738648891449,4.528632640838623,8.883685111999512
1510250797479,-0.333991140127182,4.7369279861450195,7.465120792388916
1510250797508,-0.4297592043876648,4.702212333679199,7.011419773101807
1510250797529,,3.6164417266845703,
1510250797530,-1.3515268564224243,,7.210138320922852
1510250797564,-0.42377370595932007,5.2229509353637695,8.292317390441895
1510250797591,,4.483142852783203,
1510250797592,-0.33518823981285095,,8.889671325683594
1510250797629,-0.40222588181495667,4.516661643981934,9.32541561126709
1510250797650,,4.307168960571289,
1510250797651,-2.165555477142334,,9.806650161743164
1510250797684,-1.9261353015899658,4.491522312164307,9.015366554260254
1510250797701,-1.7262194156646729,4.831499099731445,8.198944091796875
1510250797735,-1.1204863786697388,4.993107795715332,7.77756404876709
1510250797757,-1.4101848602294922,5.260061264038086,7.24485445022583
1510250797782,-1.2030863761901855,4.969165802001953,
1510250797783,,,8.406042098999023
1510250797798,-1.4616601467132568,4.967968463897705,8.932766914367676
1510250797828,-1.643619418144226,5.0014872550964355,8.08162784576416
1510250797839,-1.2270283699035645,4.953603267669678,7.669825077056885
1510250797882,-0.7805097699165344,4.829104900360107,8.268375396728516
1510250797907,,4.784811973571777,
1510250797908,-0.8080430626869202,,7.220912456512451
1510250797944,-0.7242460250854492,4.559757232666016,
1510250797945,,,7.524975776672363
1510250797954,-1.3910311460494995,4.381389141082764,
1510250797955,,,8.079233169555664
1510250797988,-2.0446481704711914,4.455609321594238,8.56765079498291
1510250797990,-1.5849615335464478,4.616020679473877,7.860164165496826
1510250798010,-1.4293384552001953,4.789600372314453,7.196970462799072
1510250798032,,4.963180065155029,
1510250798033,-1.6915035247802734,,7.230489253997803
1510250798060,,4.807557106018066,
1510250798061,-1.3251906633377075,,8.47906494140625
1510250798083,-1.1468225717544556,4.703409194946289,8.678980827331543
1510250798096,-1.4401123523712158,4.888959884643555,
1510250798097,,,8.057685852050781
1510250798133,-0.788889467716217,5.160701751708984,8.29590892791748
1510250798144,-1.116895079612732,5.092466831207275,8.407238960266113
1510250798177,,4.856637954711914,
1510250798178,-1.7980455160140991,,9.278728485107422
1510250798187,-1.3646949529647827,4.563348293304443,11.353304862976074
1510250798204,-0.424970805644989,4.481945514678955,12.257115364074707
1510250798237,0.22625206410884857,4.786009311676025,11.370063781738281
1510250798252,0.5578489899635315,4.76924991607666,9.853337287902832
1510250798270,0.5566518902778625,4.875791549682617,
1510250798271,,,9.331400871276855
1510250798309,0.7050924301147461,4.821922302246094,9.117119789123535
1510250798312,0.8020575642585754,4.376600742340088,8.921992301940918
1510250798331,0.46088382601737976,3.4344823360443115,10.60032844543457
1510250798352,0.9169792532920837,2.3295583724975586,13.521254539489746
1510250798385,0.8248024582862854,2.009932279586792,
1510250798386,,,13.697227478027344
1510250798415,0.1149216815829277,2.316390037536621,10.846930503845215
1510250798416,,,8.763975143432617
1510250798439,0.7984662652015686,2.4588451385498047,9.300276756286621
1510250798471,0.4967968463897705,2.4875755310058594,9.404424667358398
1510250798486,0.5710170865058899,2.6803088188171387,8.47786808013916
1510250798517,0.7577648162841797,2.82515811920166,
1510250798518,,,7.048529624938965
1510250798527,,2.8119897842407227,
1510250798528,0.8798691034317017,,7.380126953125
1510250798544,0.7146692276000977,3.003525972366333,
1510250798545,,,7.601590633392334
1510250798571,0.44412440061569214,2.7545289993286133,7.722497463226318
1510250798637,1.091755986213684,2.345120668411255,10.261548042297363
1510250798702,0.20470423996448517,3.494337320327759,7.382521152496338
1510250798759,-1.0594342947006226,4.395754337310791,7.625532627105713
1510250798829,-0.3280056416988373,4.495113849639893,10.448296546936035
1510250798889,-0.02513911761343479,5.0254292488098145,8.999804496765137
1510250798965,,4.285621166229248,
1510250798966,-0.5530605912208557,,9.641449928283691
1510250799029,-0.7481880187988281,4.479551315307617,8.65743350982666
