relative_time,DecibelSource,AccX,AccY,AccZ
3730,,-2.169146776199341,-8.177395820617676,-1.0905588865280151
3743,45.526335828582454,,,
3800,,-3.2393548488616943,-8.89685344696045,0.7003039717674255
3823,50.25724245299437,,,
3867,,,-10.08437728881836,-1.8171991109848022
3868,,-3.7038300037384033,,
3902,47.43487294107731,,,
3930,,,,-1.2844891548156738
3931,,-1.238999366760254,-8.366538047790527,
3983,36.602669912362764,,,
4001,,-1.6711528301239014,-7.024587631225586,-0.9229647517204285
4063,43.41616553928517,,,
4073,,-1.8602946996688843,-8.031349182128906,-2.22660756111145
4132,,2.321178436279297,-10.487800598144531,-1.7262194156646729
4143,32.47206991726939,,,
4199,,0.9097966551780701,-10.669759750366211,-3.3458969593048096
4223,32.18264789763537,,,
4267,,0.4800374507904053,-9.63067626953125,-2.627636432647705
4303,31.649630373516892,,,
4332,,-1.723825216293335,-10.887632369995117,-2.6144683361053467
4383,30.84599215979274,,,
4406,,,,0.5734112858772278
4407,,-2.053027868270874,-8.948328971862793,
4463,36.4706995601769,,-8.031349182128906,1.7310078144073486
4464,,-3.7840356826782227,,
4530,,-1.3718775510787964,-8.65743350982666,0.9888052940368652
4543,36.82966506611369,,,
4603,,-2.4145524501800537,-9.536105155944824,0.6560112833976746
4623,41.20283737296003,,,
4682,,,-8.712499618530273,0.5374982953071594
4683,,-2.494758129119873,,
4722,36.83336431563845,,,
4734,,-1.4844050407409668,-9.133879661560059,0.3734954595565796
4802,35.85027490565709,,,
4805,,-0.9313444495201111,-9.299078941345215,0.48243165016174316
4869,,-2.076969861984253,-8.93037223815918,0.970848798751831
4882,33.88450061936514,,,
4939,,-1.2725181579589844,-9.228450775146484,1.2437877655029297
4962,34.87293389827506,,,
5004,,,,1.5502456426620483
5005,,-1.3084312677383423,-8.926780700683594,
5042,33.00147848506289,,,
5072,,-2.0422539710998535,-10.734403610229492,1.4915876388549805
5123,34.21867266930634,,,
5134,,0.5063736438751221,-12.69286060333252,0.7625532150268555
5203,34.07604557847979,,,
5214,,-2.1978771686553955,-8.291120529174805,-0.849941611289978
5268,,-5.310339450836182,-11.558009147644043,-0.9301473498344421
5283,39.31277644428018,,,
5338,,-3.776853084564209,-9.946710586547852,-1.3838485479354858
5363,35.78644805126027,,,
5410,,0.7469909191131592,-8.105569839477539,-0.9864110946655273
5443,34.65333465305021,,,
5468,,-2.070984363555908,-6.926425457000732,-0.706289529800415
5523,44.14238022254839,,,
5551,,-2.3271639347076416,-5.293580055236816,-0.2777273952960968
5601,,-0.38905778527259827,-8.377311706542969,-3.35667085647583
5603,34.03552133530974,,,
5672,,,,-4.304774761199951
5673,,7.100005149841309,-15.46295166015625,
5683,33.09628444823681,,,
5735,,-0.10893617570400238,-7.236474514007568,-3.4524388313293457
5762,34.35404969924804,,,
5803,,,-15.040374755859375,-0.12090718746185303
5804,,-6.362590789794922,,
5843,41.02988128674803,,,
5886,,-5.907692909240723,-7.508216381072998,1.8100165128707886
5923,45.00897662994463,,,
5939,,-4.710591793060303,-9.775525093078613,2.517503023147583
6013,,-0.6991068720817566,-9.242815971374512,-0.3998316824436188
6023,50.07933362466744,,,
6070,,-4.696226596832275,-8.431180953979492,1.5550340414047241
6103,33.68514646268739,,,
6146,,0.20231004059314728,-9.02135181427002,-0.1364694982767105
6183,36.42375409538947,,,
6203,,-2.191891670227051,-9.047688484191895,1.1851298809051514
6263,36.97437190008129,,,
6277,,,,1.091755986213684
6278,,-1.1635819673538208,-9.399636268615723,
6335,,-0.031124621629714966,-9.096769332885742,1.646013617515564
6343,35.29030583535375,,,
6396,,,,0.24779987335205078
6397,,0.17717093229293823,-10.990582466125488,
6423,35.27325595992015,,,
6463,,-1.8064252138137817,-10.278307914733887,0.040701430290937424
6503,38.77157531858839,,,
6539,,,,1.535880446434021
6540,,-8.503006935119629,-13.961787223815918,
6583,44.17618302896868,,,
6606,,-3.8726212978363037,-8.93156909942627,-1.964442491531372
6663,44.95419907287441,,,
6675,,-2.8455088138580322,-8.696937561035156,-1.9093759059906006
6738,,-2.027888774871826,-6.9707183837890625,-0.10654197633266449
6743,48.352884121100956,,,
6812,,-3.1280245780944824,-5.944802761077881,-0.8176198601722717
6823,40.58062143056467,,,
6872,,-1.1540051698684692,-7.568071365356445,-2.3965959548950195
6903,46.53077314267189,,,
6939,,4.316745758056641,-12.066776275634766,-3.0801405906677246
6983,44.118862722106385,,,
7005,,1.3180080652236938,-10.606313705444336,-5.07570743560791
7063,39.26806486157486,,,
7072,,,-15.697583198547363,-3.422511339187622
7073,,-7.044938564300537,,
7131,,,,3.892971992492676
