relative_time,AccX,AccY,AccZ
6604,,,
6654,,-9.3996362686,
6655,2.0781669617,,3.3602621555
6684,,,
6721,2.3786394596,-11.3221797943,0.717063427
6764,,,
6787,,-12.1170549393,
6788,3.2740707397,,-1.3575123549
6844,,,
6854,6.5625066757,-11.5316724777,-3.0645780563
6921,0.7362170219,-11.7567272186,0.962469101
6924,,,
6987,,-13.5978689194,
6988,-3.3997664452,,2.9316999912
7004,,,
7054,4.1718964577,-9.9479084015,-0.5758054852
7084,,,
7121,-2.4349031448,-5.4061074257,3.4201171398
7164,,,
7187,,-4.8470611572,
7188,-3.162740469,,1.3802572489
7254,,-5.8897361755,
7255,0.412999779,,-0.8595184088
7265,,,
7321,4.8362874985,-15.0511493683,-10.8182001114
7344,,,
7388,-1.1492167711,-6.2129535675,-2.6982653141
7424,,,
7454,,-16.6600532532,
7455,-0.3375824392,,-4.432864666
7504,,,
7521,-6.4870896339,-1.6112977266,5.42166996
7584,,,
7587,,-14.8871459961,
7588,5.3318872452,,0.5027823448
7654,1.5011644363,-6.719326973,0.7338228226
7664,,,
7721,-0.5698199868,-10.1741600037,-0.5961562395
7744,,,
7787,,-10.5416698456,
7788,0.784101069,,-1.4532804489
7824,,,
7854,0.2214636505,-10.9881887436,-0.9313444495
7904,,,
7921,4.8506526947,-12.4426660538,-0.4058171809
7984,,,
7987,4.8159365654,-12.1505737305,-1.728613615
8054,2.9053637981,-10.5727949142,-2.0171148777
8064,,,
8121,-3.8391025066,-15.2283201218,5.1798553467
8144,,,
8187,,-11.494562149,
8188,0.4309563041,,0.5626373887
8224,,,
8254,,-7.0209965706,
8255,-0.1221042871,,2.0709843636
8304,,,
8321,-3.3123781681,-4.7381253242,3.0226795673
8384,,,
8387,,-2.694674015,
8388,-1.8447324038,,1.5969325304
8454,,-18.2091007233,
8455,4.361038208,,-16.7043457031
8464,,,
8521,-0.580593884,-5.7149596214,-2.4193408489
8564,,,
8587,,-20.3938102722,
8588,-5.8657941818,,-8.8142538071
8644,,,
8653,,-4.1718964577,
8654,-1.0187327862,,10.3573169708
8720,5.6646814346,-13.5021009445,0.5925649405
8723,,,
8787,0.7493851185,-7.2783732414,-0.6045359373
8803,,,
8853,0.7912836671,-9.2152824402,
8854,,,1.0319008827
8883,,,
8921,0.8367735147,-10.080786705,-3.6523547173
8964,,,
8987,-0.5626373887,-11.2347917557,-1.0534487963
9044,,,
9054,4.0007109642,-11.9410810471,-1.5406688452
9121,6.0752868652,-12.6784954071,-1.4365210533
9124,,,
9188,2.5270798206,-11.5711765289,-3.7098155022
9204,,,
9254,,-15.371972084,
9255,-2.8119897842,,5.627571106
9284,,,
9321,-2.7653028965,-13.18846035,-0.4034229815
9364,,,
9387,,-7.3298482895,
9388,-0.0490811355,,1.8710685968
9444,,,
9454,-3.3291375637,-4.5190558434,3.4799721241
9521,-2.3894133568,-2.9712042809,1.1875240803
9524,,,
9587,,-14.6249809265,
9588,2.9843723774,,-11.7315883636
9604,,,
9654,2.2325930595,-12.1649389267,
9655,,,-5.2181625366
9684,,,
9721,-5.3330841064,-9.4439287186,-0.4201824069
9764,,,
9787,,-9.8653078079,
9788,-1.4939818382,,3.2202012539
9854,,-6.6475009918,
9855,1.3599065542,,8.7256679535
9864,,,
9921,5.1056351662,-11.3509101868,-1.8746598959
9944,,,
9987,,-7.5884222984,
9988,0.4800374508,,2.3606829643
10024,,,
10054,,-9.9730472565,
10055,-1.6496049166,,-2.0027496815
10104,,,
10121,0.5063736439,-9.2571811676,3.0550012589
10184,,,
10187,1.1743559837,-10.7583456039,
10188,,,-0.0526724383
10254,2.2050597668,-11.3497133255,
10255,,,-0.7230489254
10265,,,
10321,5.6395421028,-11.6813097,-2.2685060501
10344,,,
10387,,-11.5364608765,
10388,1.096544385,,-1.9979612827
10424,,,
10454,-4.8111481667,-15.0774850845,
10455,,,5.7041854858
10504,,,
10521,1.8375498056,-10.8648872375,0.7637503147
10584,,,
10587,,-7.6351094246,
10588,-0.5746083856,,1.6531962156
10654,-2.9927520752,-3.8702270985,2.3044190407
10664,,,
10721,-1.862688899,-3.1411926746,1.0031704903
10744,,,
10788,6.1710548401,-19.932926178,-14.2047986984
10824,,,
10854,,-7.3083004951,
10855,0.0933738649,,-2.626439333
10904,,,
10921,-7.9391727448,-13.0196685791,-2.15478158
10984,,,
10987,,-8.1103582382,
10988,-1.9033904076,,7.9786772728
11054,,-12.1852893829,
11055,2.1691467762,,5.5856723785
11084,,,
11121,4.4603977203,-8.1881694794,0.1101332754
11164,,,
11187,,-8.2779521942,
11188,-1.9955670834,,-0.5973533392
11244,,,
11254,4.0378212929,-10.1861314774,-2.7581202984
11321,1.6352397203,-9.2248592377,1.7764976025
11324,,,
11387,,-11.3185882568,
11388,-1.6759412289,,1.3670891523
11404,,,
11454,3.6020765305,-11.1809215546,
11455,,,1.1216834784
11484,,,
11521,5.7209448814,-11.2970409393,-2.9472622871
11564,,,
11587,,-11.3257713318,
11588,2.5318682194,,-2.0470423698
11644,,,
11654,-3.8774096966,-14.2694425583,4.8051629066
11721,3.1004912853,-10.4375219345,-2.4444799423
11724,,,
11787,,-6.5481414795,
11788,-0.0239420161,,2.2074539661
11804,,,
11854,-2.3295583725,-5.1188030243,
11855,,,2.6635494232
11884,,,
11921,-2.5905263424,-3.5649664402,1.3766659498
11964,,,
11987,,-19.1560077667,
11988,4.4089221954,,-16.8779239655
12044,,,
12054,-2.9951462746,-5.6347537041,-1.6567876339
12121,-6.7803792953,-17.5961856842,-4.7225627899
12124,,,
12188,-2.3558945656,-4.1862616539,8.55448246
12204,,,
12254,5.3426609039,-12.8580598831,1.2557587624
12284,,,
12321,0.8667010069,-8.0074071884,-1.0259153843
12384,,,
12388,-1.7537527084,-10.0532531738,0.9983820915
12454,,-9.3649196625,
12455,2.52947402,,-1.5897499323
12464,,,
12521,1.1180921793,-10.900800705,0.7960720658
12544,,,
12587,,-11.7435588837,
12588,3.5769374371,,-0.825999558
12624,,,
12654,5.5856723785,-12.5085067749,-2.1045033932
12704,,,
12721,4.2940006256,-11.203666687,-3.1950621605
12784,,,
12787,,-16.209941864,
12788,-2.8143839836,,6.7696051598
12854,-4.1431660652,-12.4941415787,
12855,,,-0.1604115069
12864,,,
12921,0.6272808313,-7.4363903999,0.8152256608
12944,,,
12987,,-4.67827034,
12988,-3.1232361794,,3.6188359261
13024,,,
13054,-3.2453403473,-2.8012158871,1.0187327862
13103,,,
13120,4.7967829704,-17.1496658325,-13.4135150909
13183,,,
13187,0.3375824392,-8.5903959274,-4.7321395874
13254,,-14.7865896225,
13255,-9.2057056427,,-2.2661118507
13264,,,
13321,-2.0889410973,-7.171831131,7.1215529442
13344,,,
13387,,-11.3425302505,
13388,3.9240965843,,5.0685248375
13424,,,
13454,4.8446669579,-10.0748004913,-1.2078747749
13504,,,
13521,-2.8227639198,-8.4156188965,0.5303156972
13584,,,
13587,,-10.1406412125,
13588,1.1300631762,,-4.3478703499
13654,0.9780313969,-9.0297317505,2.4384944439
13684,,,
13721,1.4425065517,-11.4634380341,-0.717063427
13764,,,
13787,,-11.8441162109,
13788,3.0717608929,,-0.8152256608
13844,,,
13854,5.7233390808,-10.9834003448,-4.6399626732
13921,0.1987187415,-12.2786636353,0.7290344238
13924,,,
13987,,-14.150929451,
13988,-4.7943887711,,1.9081788063
14004,,,
14054,4.3035774231,-10.3381633759,
14055,,,-1.0247182846
14084,,,
14121,-2.2206220627,-5.4204726219,3.5302503109
14164,,,
14187,,-3.4991257191,
14188,-3.8031895161,,1.7441759109
14244,,,
14254,-1.3204022646,-6.0357823372,-1.4329297543
14321,6.8976950645,-15.3887310028,-11.6669445038
14324,,,
14387,,-4.955997467,
14388,-4.7022123337,,-0.3639186621
14404,,,
14454,,-16.3811283112,
14455,-2.6348190308,,-2.8491001129
14484,,,
14521,-0.3878606856,-2.9316999912,9.4391403198
14564,,,
