relative_time,AccX,AccY,AccZ
28121,5.7065796852,-10.8074264526,-4.2844238281
28144,,,
28187,,-11.9757966995,
28188,1.007958889,,0.3447650373
28224,,,
28254,,-12.5911064148,
28255,-3.8702270985,,2.8742392063
28304,,,
28321,3.6739025116,-10.5572328568,-1.6843209267
28384,,,
28387,-0.7661445141,-7.1694369316,
28388,,,2.6228480339
28454,-2.8383262157,-6.222530365,1.8746598959
28464,,,
28521,-2.5282769203,-3.8510735035,0.0143652102
28544,,,
28588,1.0031704903,-13.1405763626,-10.1873283386
28624,,,
28654,1.6196774244,-10.9486846924,
28655,,,-6.0693011284
28704,,,
28721,-7.9032597542,-10.7296152115,-0.3148375154
28784,,,
28787,,-12.618639946,
28788,-0.2190694511,,0.3519476354
28854,2.9245173931,-7.094019413,
28855,,,7.2388687134
28864,,,
28921,4.1060557365,-11.5400524139,-1.0977414846
28944,,,
28987,,-7.7260890007,
28988,-1.479616642,,0.7721300721
29043,,,
29054,1.3192051649,-10.3022499084,-1.2749123573
29122,,-8.6023664474,
29123,1.9452888966,,2.0231003761
29188,-0.5231330991,-10.7739076614,0.0442927331
29203,,,
29253,,-11.8273563385,
29254,2.1152772903,,1.0235211849
29283,,,
29320,,-11.7519388199,
29321,4.3406877518,,-1.4472949505
29363,,,
29387,5.2421045303,-10.4399166107,-3.0023288727
29443,,,
29454,-4.0330328941,-16.0650939941,6.2895679474
29521,-5.5078611374,-13.4793558121,1.0785878897
29524,,,
29588,2.6898856163,-7.6662340164,0.4979939461
29604,,,
29654,,-4.2999863625,
29655,-3.0645780563,,4.0282444954
29684,,,
29721,-4.4963107109,-3.0442273617,0.6931213737
29764,,,
29787,,-13.0412168503,
29788,2.2709002495,,-9.6079311371
29844,,,
29854,2.5605986118,-12.9993181229,-7.7392568588
29921,-5.2588639259,-5.239710331,2.1140801907
29924,,,
29987,,-16.2147312164,
29988,-1.5466543436,,-5.2636523247
30004,,,
30054,,-5.627571106,
30055,3.0585925579,,8.9100217819
30084,,,
30121,4.6303858757,-13.0100917816,
30122,,,-0.0514753349
30164,,,
30187,,-7.4591355324,
30188,-1.9584569931,,1.119289279
30244,,,
30254,1.613691926,-10.1083192825,-1.7202339172
30321,1.8519150019,-9.4558992386,1.2246341705
30344,,,
30388,0.8643068075,-10.5081510544,-0.3136404157
30424,,,
30454,,-10.6661682129,
30455,2.0195090771,,-0.1963245422
30504,,,
30521,2.9245173931,-10.9415016174,-2.0398597717
30584,,,
30587,,-12.3983736038,
30588,3.6451721191,,-1.3730746508
30654,-3.9228994846,-16.0231952667,
30655,,,3.3686418533
30664,,,
30721,-4.8733973503,-12.7826433182,0.5446808934
30744,,,
30787,,-9.7551746368,
30788,2.1691467762,,0.985213995
30824,,,
30854,-2.7425580025,-5.0374002457,
30855,,,4.2485108376
30904,,,
30921,-3.1531636715,-4.3370962143,1.1516109705
30984,,,
30987,,-9.5648355484,
30988,0.4046200812,,-6.4392056465
31054,,-13.8636245728,
31055,3.8474822044,,-9.051279068
31064,,,
31121,-3.6296098232,-3.7995979786,1.3347674608
31144,,,
31187,-1.0618284941,-19.932926178,
31188,,,-8.8824882507
31224,,,
31254,0.7601590157,-3.2836475372,
31255,,,7.2544312477
31304,,,
31321,4.7081975937,-12.9059438705,0.0694318488
31384,,,
31387,,-7.850587368,
31388,-2.9460651875,,-0.0861912593
31454,,-9.982624054,
31455,-0.8894459605,,0.9026140571
31465,,,
31521,1.6627731323,-9.3002767563,1.6424223185
31564,,,
31587,,-10.4686470032,
31588,0.9876081944,,0.5003881454
31644,,,
31654,0.6308721304,-10.751162529,0.5219359994
31721,2.7090392113,-11.1486005783,-0.3280056417
31724,,,
31788,4.3634324074,-11.2503538132,-4.9176902771
31804,,,
31854,-1.18872118,-12.3373212814,
31855,,,1.2665326595
31884,,,
31921,-5.2085857391,-13.425485611,1.7357962132
31964,,,
31987,,-10.3800611496,
31988,3.3303346634,,-0.6105214357
32044,,,
32054,-1.1168950796,-6.0740895271,3.9276878834
32121,-3.001131773,-4.2293572426,2.0506336689
32124,,,
32188,-1.2018892765,-5.9471969604,-1.3048399687
32204,,,
32254,,-17.8787002563,
32255,3.9073371887,,-14.0479784012
32284,,,
32321,-2.52947402,-4.3562498093,-2.1607670784
32364,,,
32388,-6.4655418396,-17.9876365662,-0.011971008
32444,,,
32454,-1.5179238319,-4.5609540939,6.4691329002
32521,4.2509050369,-12.9143238068,3.6523547173
32524,,,
32587,,-8.852560997,
32588,1.0426748991,,-0.9145850539
32604,,,
32654,-1.4221558571,-10.0329017639,1.0714052916
32684,,,
32721,0.7038952708,-8.4874448776,0.7577648163
32764,,,
32787,,-9.9730472565,
32788,0.7362170219,,1.0223240852
32854,,-11.0959281921,
32855,4.3215341568,,-1.1540051699
32865,,,
32921,1.9859902859,-11.2754926682,0.2442085743
32944,,,
32987,,-11.4694232941,
32988,4.7860093117,,-2.8502972126
33024,,,
33054,-1.2401964664,-11.4382982254,0.3375824392
33104,,,
33121,,-14.1233959198,
33122,-4.4963107109,,1.9069817066
33184,,,
33187,,-10.7140522003,
33188,1.7106571198,,0.0897825658
33254,,-7.3370308876,
33255,-0.538695395,,2.6036944389
33264,,,
33321,-2.3175871372,-4.5334210396,
33322,,,2.1332337856
33344,,,
33387,,-3.4153287411,
33388,-2.4528596401,,-0.1256955862
33424,,,
33454,,-14.3711957932,
33455,3.0968999863,,-12.1589536667
33504,,,
33521,-0.8655039072,-9.4403371811,-4.4041337967
33584,,,
33587,,-17.3615531921,
33588,-7.3741412163,,-5.4108958244
33654,-5.8059391975,-0.3591302633,5.8071360588
33664,,,
33721,5.4767365456,-16.3176822662,3.3949780464
33744,,,
33787,,-8.4144220352,
33788,2.2756886482,,-0.2813186944
33824,,,
33854,-1.3407529593,-9.4151983261,
33855,,,-0.3052607179
33904,,,
33921,0.7433996201,-8.5065984726,-0.1520318091
33984,,,
33987,,-10.0173397064,
33988,2.5282769203,,-0.0323217213
34054,,-10.6194820404,
34055,-0.3722983599,,-1.2617442608
34065,,,
34121,2.0242974758,-11.2012729645,0.1388636976
34164,,,
34187,,-12.0153017044,
34188,3.9109284878,,-1.5382746458
34244,,,
34254,1.9464859962,-11.378443718,-1.2832920551
34321,-4.0390181541,-15.7885627747,5.5413799286
34324,,,
34387,,-12.3828115463,
34388,-3.0633809566,,0.8200140595
34404,,,
34454,,-7.7368626595,
34455,0.6979097724,,1.0067617893
34484,,,
34521,-2.7269957066,-4.0845079422,4.2999863625
34564,,,
34587,,-2.487575531,
34588,-2.3307554722,,0.5255272985
34644,,,
34654,1.3694833517,-17.1963539124,-14.9769287109
34721,-0.2621650994,-9.4870243073,-4.4675803185
34724,,,
34788,-5.9735331535,-21.1204509735,-9.821015358
34804,,,
34854,,-2.3367409706,
34855,-4.6758761406,,5.3953337669
34884,,,
34921,4.9823336601,-14.3747873306,2.7269957066
34964,,,
34987,,-8.219294548,
34988,0.6691793799,,0.7015010715
35044,,,
35054,-1.2952631712,-9.6618013382,-0.3627215624
35121,0.8559271097,-9.1207113266,-1.4867992401
35124,,,
35188,1.4856021404,-9.5947637558,1.8543092012
35204,,,
35254,,-10.7894697189,
35255,1.9045875072,,-0.2968810201
35284,,,
35321,1.4233529568,-11.9698114395,-0.1101332754
35364,,,
35387,,-12.9406604767,
35388,5.9424085617,,-3.5350387096
35454,,-9.5540618896,
35455,0.3579331636,,-1.2605471611
35464,,,
35521,-4.1790790558,-17.0060138702,
35522,,,3.227383852
35544,,,
35588,3.8714241982,-11.2144403458,-1.0869675875
35624,,,
35654,,-5.0493712425,
35655,-0.9253589511,,3.269282341
35704,,,
35721,-2.9161376953,-3.8067808151,2.4947581291
35784,,,
35787,,-5.4444146156,
35788,-2.342726469,,-1.0833762884
35854,,-17.2442378998,
35855,2.8012158871,,-13.1800804138
35864,,,
35921,-3.9396588802,-4.3526587486,-2.0494365692
35944,,,
35987,,-18.4604930878,
35988,-4.7153801918,,-7.5429325104
36024,,,
36054,,-4.3502645493,
36055,0.0155623108,,7.049726963
36104,,,
36121,3.7337574959,-13.4039382935,2.5450363159
36184,,,
36187,,-7.7356657982,
36188,-0.2274491638,,0.5734112859
36254,,-9.5815954208,
36255,-1.5358804464,,1.0869675875
36264,,,
36321,0.9002198577,-10.8421421051,-2.2493524551
36344,,,
36387,,-9.615114212,
36388,0.3363853395,,0.6715735793
36424,,,
36454,,-11.1665563583,
36455,0.2717418969,,-1.2389993668
36504,,,
36521,1.0211269855,-11.7734870911,-0.5410895944
36584,,,
36587,,-11.2790842056,
36588,5.6694698334,,-4.1012673378
36654,2.9640216827,-12.0990982056,
36655,,,-1.1444283724
36684,,,
36721,-3.6667199135,-15.0284042358,
36722,,,3.6260185242
36764,,,
36787,,-11.1067018509,
36788,3.1376013756,,-1.8842366934
36844,,,
36854,,-6.6187705994,
36855,0.427365005,,2.9987375736
36921,-3.350685358,-4.1000704765,
36922,,,3.1004912853
36924,,,
36988,-1.3000515699,-5.3462524414,-1.4820108414
37004,,,
37054,1.8806453943,-14.1640968323,-11.1198701859
37084,,,
37121,-1.8064252138,-6.5756750107,-4.2090067863
37164,,,
37188,-6.5445504189,-19.8850421906,-4.5334210396
37244,,,
37254,-4.2389340401,-2.2062568665,6.0166287422
37321,4.2568907738,-14.1233959198,4.1335892677
37324,,,
37387,,-7.7428483963,
37388,1.1803414822,,-0.586579442
37404,,,
37454,-2.219424963,-9.1590185165,
37455,,,1.4652514458
37484,,,
37521,1.3120225668,-9.9119949341,-2.445677042
37564,,,
37587,,-9.039308548,
37588,0.1472434103,,2.7617115974
37644,,,
37654,2.325966835,-11.2838726044,0.8283938169
37721,1.7046716213,-12.6940574646,
37722,,,-0.0574608408
37724,,,
37787,,-12.2427501678,
37788,4.5082817078,,-2.9125463963
37804,,,
37854,1.8195933104,-10.6613798141,
37855,,,-2.2266075611
37884,,,
37921,-4.1814732552,-15.4653463364,4.5825018883
37984,,,
37988,-3.434482336,-11.8656635284,0.5327098966
38054,,-7.5537061691,
38055,1.2449848652,,1.1109095812
38064,,,
38121,-2.6791117191,-6.409277916,2.7377696037
38144,,,
38187,-3.7840356827,-3.8211460114,
38188,,,1.0295066833
38224,,,
38254,,-10.3022499084,
38255,0.6619967818,,-9.1769752502
38304,,,
38321,3.8642416,-12.45104599,-7.1826052666
38384,,,
38387,,-8.6047611237,
38388,-5.9878983498,,1.1348515749
38454,,-10.1334590912,
38455,-2.8514943123,,3.8965632915
38464,,,
38521,4.5789108276,-8.9495258331,6.7660140991
38544,,,
38588,4.5250411034,-11.7459535599,-2.4193408489
38624,,,
38654,-2.8131868839,-7.9643120766,1.2856862545
38704,,,
38721,0.4321534038,-9.0991640091,1.2282254696
38784,,,
38788,1.728613615,-10.2112703323,0.494402647
38854,,-10.5476560593,
38855,-0.6859387755,,-1.2856862545
38864,,,
38921,1.7465701103,-10.7798929214,0.3711012602
38944,,,
38988,0.14844051,-12.3445043564,-0.0754173547
39024,,,
39054,,-11.0911397934,
39055,6.1064114571,,-4.2951979637
39104,,,
39121,1.2294225693,-12.5156898499,0.672770679
39184,,,
39187,,-13.3165502548,
39188,-4.5453920364,,3.3710360527
39254,,-10.3621053696,
39255,0.5913678408,,0.0071826051
39284,,,
39321,-0.4010287821,-6.2333040237,2.8909986019
39364,,,
39387,-2.5893292427,-5.4120931625,1.9189527035
39444,,,
39454,-1.387439847,-3.8139634132,0.2705447972
39521,2.0195090771,-12.9741792679,-12.4941415787
39524,,,
39587,,-9.8497457504,
39588,-0.3962403834,,-5.0769047737
39604,,,
39654,,-19.547460556,
39655,-10.0508584976,,-2.9831752777
39684,,,
39721,-4.4987049103,-1.9800047874,5.5545477867
39764,,,
39787,,-14.3807725906,
39788,4.6998181343,,3.0933086872
39844,,,
39854,2.0602104664,-8.1809873581,-0.8295909166
39921,-2.2565350533,-9.1362733841,0.0981622711
39924,,,
39987,,-9.2954883575,
39988,0.0107739074,,-2.0099322796
40004,,,
40054,1.234210968,-9.0429000854,
40055,,,2.668337822
40084,,,
40121,-1.5801731348,-11.0456495285,-0.3387795389
40164,,,
40187,,-11.6657476425,
40188,1.9237411022,,0.4477157295
40244,,,
40254,,-11.9243211746,
40255,3.5122938156,,-3.0406360626
40321,2.0075380802,-12.0715646744,-1.1827356815
40324,,,
40388,-6.0453591347,-14.9458036423,4.1958384514
40404,,,
40454,,-10.5548381805,
40455,-1.8986018896,,1.1492167711
40484,,,
40521,1.3730746508,-7.0389528275,0.940921247
40584,,,
40587,,-4.3514614105,
40588,-1.878251195,,3.7421371937
40654,,-5.3534350395,
40655,-2.4384944439,,-0.0622492433
40664,,,
40721,1.4389152527,-12.6461734772,-7.9415669441
40744,,,
40788,1.8997989893,-12.3612632751,-8.7771434784
40824,,,
40854,,-4.8422727585,
40855,-1.460463047,,-1.0714052916
40904,,,
40921,-7.8182654381,-15.0284042358,-1.3359645605
40984,,,
40987,,-4.6986207962,
40988,-1.7142484188,,6.3853359222
41054,,-13.0412168503,
41055,3.2225954533,,4.6722846031
41064,,,
41121,4.0785226822,-9.014169693,-4.1060557365
41144,,,
41188,-0.326808542,-9.1350765228,1.9644424915
41224,,,
41254,,-9.1997203827,
41255,0.0682347491,,-2.5677812099
41304,,,
41321,-0.2358288616,-8.8537578583,2.9388825893
41384,,,
41388,2.0458452702,-11.6094837189,0.6464344859
41454,,-11.66933918,
41455,3.7014358044,,-0.0909796655
41464,,,
41521,5.5844755173,-11.7040548325,
41522,,,-3.0442273617
41544,,,
41588,0.4285621047,-11.3952026367,-0.8020575643
41624,,,
41654,,-14.8835544586,
41655,-4.6088380814,,4.231751442
41704,,,
41721,1.7896658182,-10.9606552124,
41722,,,-0.5494692922
41788,0.5650315881,-6.7121443748,3.4153287411
41804,,,
41854,,-4.4017395973,
41855,-2.8574798107,,2.7509377003
41884,,,
41921,-1.686715126,-2.6611552238,0.6715735793
41964,,,
41987,,-16.1261463165,
41988,1.9057846069,,-13.406332016
42044,,,
42054,-1.7537527084,-6.8964982033,
42055,,,-3.5565867424
42121,-9.4415340424,-14.3209171295,-2.284068346
42124,,,
42188,-2.917334795,-4.8207249641,6.4559650421
42204,,,
42254,,-10.6781396866,
42255,4.0845079422,,6.0429649353
42284,,,
42321,3.185485363,-8.7053174973,-1.974019289
42364,,,
42388,-1.9584569931,-9.051279068,0.8176198602
42444,,,
42454,-0.0047884034,-10.2639427185,-2.6551697254
42521,-1.3180080652,-8.7113027573,3.0717608929
42524,,,
42588,0.6440402865,-11.4263277054,-0.9911994934
42604,,,
42654,,-11.823764801,
42655,2.5210943222,,-0.1855506301
42684,,,
42721,4.9871220589,-11.2204265594,-2.8143839836
42764,,,
42787,,-11.7375736237,
42788,0.9708487988,,-1.3251906633
42844,,,
42854,-4.9871220589,-14.7542676926,
42855,,,4.1623196602
42921,-2.8395233154,-11.6058931351,0.7709329724
42924,,,
42987,,-9.0129718781,
42988,1.7453730106,,0.6356605291
43004,,,
43054,,-5.220556736,
43055,-2.0482394695,,3.6332011223
43104,,,
43121,-2.7018566132,-3.7768530846,
43122,,,0.7050924301
43184,,,
43187,,-12.0787477493,
43188,0.7912836671,,-8.8860797882
43254,2.238578558,-13.1286048889,
43255,,,-8.413225174
43264,,,
43321,-6.2883706093,-9.5708217621,
43322,,,-0.8559271097
43344,,,
43387,,-11.353304863,
43388,0.4058171809,,2.5989060402
43424,,,
43454,,-5.963956356,
43455,2.0973207951,,10.3980178833
43504,,,
43521,5.2229509354,-11.7806692123,-3.2860417366
43584,,,
43588,-0.3004723191,-7.5142021179,
43654,,-9.2930936813,
43655,0.6260837317,,0.9876081944
43664,,,
43721,2.1308395863,-10.1813430786,
43722,,,-0.0646434426
43744,,,
43787,,-10.2316207886,
43788,-0.3722983599,,0.3363853395
43824,,,
43854,,-10.6901102066,
43855,3.3734302521,,0.1735796183
43904,,,
43921,3.8498764038,-11.501745224,-0.7038952708
43984,,,
43988,5.4120931625,-11.7974290848,-4.3658266068
44054,,-12.3409128189,
44055,-1.6148890257,,0.9229647517
44064,,,
44121,-4.0737342834,-12.8460893631,1.406593442
44144,,,
44188,4.535815239,-10.5320930481,-1.230619669
44224,,,
44254,-0.5853823423,-5.1870379448,
44255,,,4.0162734985
44304,,,
44321,-3.0933086872,-4.606443882,1.3575123549
44388,-1.728613615,-5.5533509254,-0.7948749661
44404,,,
44454,,-13.6074457169,
44455,3.2788591385,,-12.0763530731
44484,,,
44521,-1.4173674583,-6.1566896439,
44522,,,-2.2182278633
44564,,,
44588,-9.6905317307,-16.1704387665,-2.1571757793
44644,,,
44654,-2.7700912952,-3.1878795624,
44655,,,6.7995328903
44721,5.4420204163,-12.5755443573,4.6100354195
44724,,,
44788,2.4121582508,-8.6861639023,-1.8411411047
44804,,,
44854,,-8.9076271057,
44855,-2.4109611511,,0.9229647517
44884,,,
44921,0.9971849918,-10.0795888901,-2.4157495499
44964,,,
44988,0.14844051,-9.1135292053,1.0199298859
45044,,,
45054,0.3663128614,-10.2555627823,
45055,,,0.5961562395
45121,2.588132143,-11.0276927948,1.0929530859
45124,,,
45188,5.285200119,-12.0643825531,-1.5454572439
45204,,,
45254,,-11.7495450974,
45255,1.9919757843,,-2.9149405956
45284,,,
45321,-3.0957028866,-14.5794916153,5.0110640526
45364,,,
45387,,-12.9442510605,
45388,-4.2868180275,,0.6117185354
45444,,,
45454,0.9995791912,-8.4287872314,1.0917559862
45521,-1.8890250921,-4.813542366,2.6252422333
45524,,,
45587,,-3.596091032,
45588,-2.6659436226,,0.8619126081
45604,,,
45654,,-11.3604869843,
45655,0.3651157618,,-8.6095495224
45704,,,
45721,4.0976762772,-14.5208330154,-9.212887764
45784,,,
45787,,-5.2672438622,
45788,-5.7999534607,,3.0669724941
45854,,-16.6241397858,
45855,-1.7693150043,,-6.7049617767
45864,,,
45921,1.7238252163,-4.3670239449,8.6011695862
45944,,,
45987,,-12.8676366806,
45988,5.1200003624,,-0.739808321
46024,,,
46054,,-7.8410105705,
46055,-2.0039467812,,0.7374141216
46104,,,
46121,-0.4704606235,-10.2471828461,-0.2202665508
46184,,,
46188,3.8594532013,-9.0859956741,1.1121066809
46254,,-10.2914762497,
46255,0.5015852451,,-0.4812345505
46264,,,
46321,-0.831985116,-11.3473186493,0.542286694
46344,,,
46387,,-11.4909706116,
46388,4.3347020149,,-0.011971008
46424,,,
46455,4.6662993431,-11.8776350021,-5.0062756538
46504,,,
46521,-1.1743559837,-12.6114578247,
46522,,,2.2852654457
46584,,,
46588,-5.5102553368,-13.1609268188,2.0003554821
46654,,-10.6099052429,
46655,4.4089221954,,-0.6488286853
46664,,,
46721,-1.8686743975,-5.4851160049,4.2856211662
46744,,,
46787,,-4.2760443687,
46788,-2.6240451336,,1.613691926
46824,,,
46854,,-4.9907135963,
46855,-2.7952303886,,-0.4261679053
46921,4.581305027,-16.3452148438,-12.7646865845
46924,,,
46988,-2.0326771736,-4.6543278694,-3.2872388363
47004,,,
47054,,-12.8688344955,
47055,-8.2683753967,,-0.9792284966
47084,,,
47121,-1.8291701078,-5.9292407036,7.1814079285
47164,,,
47187,,-12.1457853317,
47188,3.4249055386,,5.1259856224
47244,,,
47254,3.9157168865,-9.3517522812,
47255,,,-2.4013843536
47321,-1.391031146,-9.0752220154,2.1236569881
47324,,,
47388,2.1080946922,-9.0584621429,-1.8471266031
47404,,,
47454,,-9.4439287186,
47455,1.0929530859,,1.4676456451
47484,,,
47521,-0.3244143426,-10.3142213821,
47522,,,-0.0670376495
47564,,,
47587,,-12.1757125854,
47588,1.6412252188,,-1.2401964664
47644,,,
47654,,-12.0272722244,
47655,5.2636523247,,-2.5857379436
47721,3.6248214245,-11.8584814072,-3.3638534546
47724,,,
47788,-3.6080620289,-14.9481983185,7.5932106972
47804,,,
47854,,-12.3373212814,
47855,-0.2920926213,,0.4070142806
47884,,,
47921,0.1340752989,-6.1722521782,2.5737667084
47965,,,
47987,,-4.438849926,
47988,-3.1615433693,,3.9923312664
48044,,,
48054,,-3.5122938156,
48055,-2.3678655624,,0.2106897533
48121,2.3870191574,-17.4525337219,-14.7111721039
48124,,,
48187,,-8.6023664474,
48188,0.7852981687,,-4.3011832237
48224,,,
48254,,-10.1645832062,
48255,-7.0640921593,,-0.6560112834
48304,,,
48321,-2.6599581242,-8.431180954,4.8745946884
48384,,,
48387,,-9.32421875,
48388,4.0210618973,,7.481880188
48454,,-10.1609916687,
48455,2.9149405956,,-1.7920600176
48464,,,
48521,-2.4899697304,-8.4670944214,
48522,,,1.9345149994
48544,,,
48588,1.7741034031,-9.4511108398,-1.3299790621
48624,,,
48654,,-8.7939023972,
48655,2.6408045292,,1.4496891499
48704,,,
48721,-0.1999158412,-11.0252990723,-0.3818751574
48784,,,
48788,2.8898015022,-11.3820352554,1.1779472828
48854,,-12.0823392868,
48855,4.9512090683,,-2.4935610294
48864,,,
48921,2.5330653191,-11.5627975464,-2.2685060501
48944,,,
48988,-3.740940094,-14.7219467163,5.3785738945
49024,,,
49054,-3.9827544689,-12.1852893829,
49055,,,0.5913678408
49104,,,
49121,1.3742717505,-8.4048452377,
49122,,,1.2473790646
49184,,,
49187,,-5.1870379448,
49188,-2.177526474,,3.7457284927
49254,,-3.3578679562,
49255,-2.9724013805,,0.5841852427
49264,,,
49321,0.9708487988,-12.470199585,-9.1171197891
49344,,,
49388,1.6184803247,-12.3421096802,-7.3549876213
49424,,,
49454,,-3.6727054119,
49455,-3.2477345467,,-0.0993593708
49521,-3.3123781681,-21.204246521,
49522,,,-9.2152824402
49524,,,
49588,0.2717418969,-2.5617957115,6.6594719887
49604,,,
49654,,-13.8767929077,
49655,5.176264286,,0.3866635859
49684,,,
49721,-0.7613561153,-7.1502833366,0.9481038451
49764,,,
49787,,-10.1741600037,
49788,0.3627215624,,1.2785036564
49844,,,
49854,1.3946224451,-10.2136640549,-3.2333693504
49921,-0.1472434103,-9.6258878708,2.0302829742
49924,,,
49988,1.4772224426,-10.8984060287,0.2226607651
50004,,,
50054,,-11.2671127319,
50055,2.5773582458,,-1.0342950821
50084,,,
50121,4.5094790459,-11.862071991,-3.7900211811
50164,,,
50187,,-12.3468980789,
50188,-1.1659762859,,0.3866635859
50244,,,
50254,-4.3382935524,-13.6565265656,
50255,,,2.4289176464
50321,1.0761936903,-10.8134117126,0.6548141837
50324,,,
50388,0.4321534038,-6.9491705894,3.2357635498
50404,,,
50454,,-4.2090067863,
50455,-2.7772738934,,2.9688100815
50484,,,
50521,-2.3630771637,-4.2245688438,
50522,,,-0.1340752989
50564,,,
50587,,-14.8165168762,
50588,0.9289502501,,-11.7291936874
50644,,,
50654,-0.6847416759,-6.5553240776,-3.2417490482
50721,-7.727285862,-12.7012395859,-0.624886632
50724,,,
50788,-1.0426748991,-5.7963624001,7.2412629128
50824,,,
50854,2.8862102032,-10.1957082748,7.02937603
50904,,,
50921,4.3143515587,-10.3980178833,-1.8734627962
50984,,,
50987,,-8.6406736374,
50988,-2.6216509342,,0.9995791912
51054,,-10.2890815735,
51055,1.1743559837,,-2.9915549755
51064,,,
51121,2.4468741417,-8.8010854721,1.552639842
51144,,,
51188,0.8834604025,-10.6613798141,1.521515131
51224,,,
51254,,-11.0791683197,
51255,1.1360486746,,1.8854337931
51304,,,
51321,3.9743747711,-11.3628816605,-2.3953988552
51384,,,
51387,,-11.7519388199,
51388,3.208230257,,-3.7553052902
51454,,-14.3412685394,
51455,-0.9768342972,,3.9420530796
51464,,,
51521,-4.3538556099,-13.4913263321,1.0295066833
51544,,,
51588,1.9440917969,-8.5664539337,1.1468225718
51624,,,
51654,,-5.5018754005,
51655,-0.9732429981,,4.7022123337
51704,,,
51721,-4.1706995964,-3.5075054169,2.1080946922
51784,,,
51788,1.5622166395,-13.6277961731,-10.2220439911
51854,1.6771383286,-10.427945137,
51855,,,-8.0205755234
51864,,,
51921,-0.8631097078,-4.8446669579,-2.610877037
51944,,,
51987,,-20.1914997101,
51988,-7.8733325005,,-10.4830121994
52044,,,
52054,,-0.0610521436,
52055,0.349553436,,10.1334590912
52121,5.8753709793,-14.6812448502,1.6998832226
52124,,,
52188,-0.3519476354,-7.6961612701,-0.8379706144
52204,,,
52254,,-9.8892498016,
52255,-1.2461819649,,1.5059528351
52284,,,
52321,2.7928361893,-10.2902784348,-0.7110779285
52364,,,
52387,,-9.9096012115,
52388,-1.7812861204,,0.8295909166
52444,,,
52454,,-11.7291936874,
52455,1.2222399712,,-0.9229647517
52521,3.0550012589,-11.8896055222,-0.4405331016
52524,,,
52588,5.0014872551,-11.2335939407,-2.7724854946
52604,,,
52654,,-12.0452289581,
52655,0.825999558,,-0.3890577853
52684,,,
52721,-4.0833110809,-12.8401041031,2.9640216827
52764,,,
52788,-0.8451532125,-10.6996870041,0.8906430602
52844,,,
52854,0.3411737382,-7.0341644287,2.5270798206
52921,-2.6791117191,-5.1930236816,1.2126631737
52924,,,
52988,-2.2050597668,-3.9384617805,-0.2298433632
53004,,,
53054,,-13.2279644012,
53055,0.9002198577,,-10.0831804276
53084,,,
53121,2.2577321529,-11.7411651611,-5.9136781693
53164,,,
53187,,-3.476380825,
53188,-4.1024646759,,1.0941501856
53244,,,
53254,-3.0729579926,-19.4277496338,
53255,,,-10.285490036
53321,1.276109457,-2.4923639297,7.6291236877
53344,,,
53388,5.1535191536,-14.3029613495,1.5275006294
53424,,,
53454,,-7.3262572289,
53455,-0.9301473498,,1.0534487963
53504,,,
53521,-0.6320692301,-10.6482124329,-0.1735796183
53584,,,
53587,,-9.7168674469,
53588,2.0027496815,,0.4620809257
53654,,-10.3788642883,
53655,-1.6771383286,,-0.8667010069
53664,,,
53721,1.6986861229,-11.4837884903,-1.1288660765
53744,,,
53787,,-11.2814788818,
53788,1.1827356815,,-0.3711012602
53824,,,
53854,,-11.2910556793,
53855,4.6914381981,,-3.227383852
53904,,,
53921,-0.0239420161,-12.1972608566,-0.457292527
53984,,,
53987,,-13.7582798004,
53988,-4.64594841,,3.5541923046
54054,,-9.9239664078,
54055,2.1811177731,,0.0993593708
54064,,,
54121,1.0402805805,-7.5345525742,2.0602104664
54144,,,
54188,-2.588132143,-5.1726727486,2.3930046558
54224,,,
54254,,-4.5010991096,
54255,-1.6759412289,,-0.0945709646
54304,,,
54321,,-14.5878705978,
54322,0.3148375154,,-11.2970409393
54384,,,
54388,1.1049240828,-10.9295310974,-5.1654901505
54454,,-7.6782050133,
54455,-4.600458622,,0.672770679
54465,,,
54521,-2.0817582607,-16.5379486084,-7.6841902733
54544,,,
54588,-0.7074866295,-4.025850296,5.149928093
54644,,,
54654,,-12.8652429581,
54655,4.8398785591,,0.5710170865
54721,-0.6811503768,-7.9738888741,0.6404489279
54724,,,
54788,-1.2234370708,-9.7264442444,1.2713210583
54804,,,
54854,,-9.9874124527,
54855,1.7381904125,,0.5075707436
54884,,,
54921,0.9121908545,-10.9043912888,-0.3088520169
54964,,,
54988,2.8957870007,-10.6111021042,0.6703764796
55044,,,
55054,,-11.1067018509,
55055,4.4220905304,,-0.653617084
55121,,-12.270283699,
55122,4.1276035309,,-4.2341456413
55124,,,
55187,,-13.3177471161,
55188,-1.4221558571,,2.8850131035
55204,,,
55254,,-13.0807209015,
55255,-5.1511249542,,1.2545616627
55284,,,
55321,4.2975921631,-10.1897220612,-1.7190368176
55364,,,
55388,-1.0893617868,-5.4779334068,3.4751837254
55444,,,
55454,,-5.5473651886,
55455,-2.3127987385,,0.9900023937
55521,-0.0478840321,-6.1722521782,
55522,,,-2.6779146194
55524,,,
55588,1.3766659498,-10.4854059219,-8.7328510284
55604,,,
55654,-1.1516109705,-9.349357605,-4.9715600014
55684,,,
55721,-6.4176578522,-9.5827922821,
55722,,,-1.192312479
55764,,,
55787,,-11.3389396667,
55788,1.2042834759,,4.6016554832
55844,,,
